,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
192,1985-0257-GRC,1985,257,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Greece,GRC,Southern Europe,Europe,Countrywide,,,,,,,,,°C,,,,,1985,8.0,5.0,1985,8.0,5.0,20.0,,,,,,,,,,,36.7554679439105,,,,
209,1987-0596-GRC,1987,596,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Greece,GRC,Southern Europe,Europe,,,,,,No,No,,41.0,°C,,,,,1987,7.0,20.0,1987,7.0,31.0,1000.0,,,,,,,,,,,38.8256008137732,,,,
217,1988-0298-GRC,1988,298,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Greece,GRC,Southern Europe,Europe,,,,,,,,,,°C,,,,,1988,7.0,3.0,1988,7.0,3.0,56.0,,,,,,,,,,,40.4088060501708,,,,
371,1990-0085-FRA,1990,85,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,Southwestern,,,,,,,,40.0,°C,,,,,1990,7.0,24.0,1990,7.0,24.0,5.0,,,,,,,,,,,44.6458774383636,,,,
543,1995-0157-ESP,1995,157,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,Andalusia,,,,,,,,47.0,°C,,,,,1995,7.0,25.0,1995,7.0,25.0,30.0,70.0,,,70.0,,,,,,,52.0692986874991,,,,
597,1998-0204-ITA,1998,204,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,Calabria,,,,,,,,46.0,°C,,,,,1998,7.0,4.0,1998,7.0,4.0,10.0,,,,,,,,,,,55.6998628053472,,,,
614,1995-0363-RUS,1995,363,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,,°C,,,,,1995,6.0,14.0,1995,6.0,14.0,20.0,,,,,,,,,,,52.0692986874991,,,,
622,1996-0362-ROU,1996,362,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,40.0,°C,,,,,1996,7.0,4.0,1996,7.0,4.0,16.0,200.0,,,200.0,,,,,,,53.5955608540084,,,,
647,1998-0250-ROU,1998,250,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,39.0,°C,,,,,1998,8.0,3.0,1998,8.0,3.0,20.0,,,,,,,,,,,55.6998628053472,,,,
674,2000-0382-BGR,2000,382,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Bulgaria,BGR,Eastern Europe,Europe,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",,,,,,,,43.0,°C,,,,,2000,6.0,,2000,7.0,,7.0,,,,,,,,,50.0,85.0,58.8406484917497,1,702;722;723;724;728,,"Blagoevgrad, Sofia, Sofia-city, Stara Zagora, Vidin (Adm1). "
739,2000-0379-GRC,2000,379,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Greece,GRC,Southern Europe,Europe,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",,,,,,,,44.0,°C,,,,,2000,7.0,,2000,7.0,,27.0,176.0,,,176.0,,,,,3000.0,5099.0,58.8406484917497,1,1336;1337;1338;1339;1340;1341;1342;1343;1345;1346;1347;1348;40766,,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Notio Aigaio, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio (Adm1). "
745,2000-0324-HRV,2000,324,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Croatia,HRV,Southern Europe,Europe,"Zagreb city (Zagreb province), Split city (Split-dalmatija province), Osijek city (Osijek-baranja province), Rijeka city (Primorje-gorski Kota province)",,,,,,,,35.0,°C,,,,,2000,6.0,,2000,6.0,,40.0,200.0,,,200.0,,,,,240000.0,407881.0,58.8406484917497,1,997;999;1003;1008,,"Osijek-baranja, Primorje-gorski Kota, Split-dalmatija, Zagreb (Adm1). "
794,2000-0380-ROU,2000,380,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,"Bucuresti, Dolj provinces",,,,,,,,43.0,°C,,,,,2000,7.0,,2000,7.0,,6.0,100.0,,,100.0,,,,,,,58.8406484917497,1,2455;2463,,"Bucuresti, Dolj (Adm1). "
944,2001-0404-RUS,2001,404,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Moskva, Moskovskaya Oblast provinces",,,,,,,,30.0,°C,,,,,2001,7.0,,2001,7.0,,276.0,,,,,,,,,,,60.5035788853056,1,2534;2535,,"Moskovskaya Oblast, Moskva (Adm1). "
