,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
59,2003-0391-AUT,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces",,Wildfire,Drought,,,,,,°C,,,,,2003,7.0,,2003,8.0,,345.0,,,,,,,,,280000.0,445445.0,62.8584595000413,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1). "
71,2003-0391-BEL,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",,Drought,,,,,,,°C,,,,,2003,8.0,1.0,2003,8.0,15.0,1175.0,,,,,,,,,,,62.8584595000413,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
117,2004-0333-ALB,2004,333,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Albania,ALB,Southern Europe,Europe,"Durres city (Durres district, Durres province)",,,,,,,,38.0,°C,,,,,2004,7.0,1.0,2004,7.0,,3.0,,,,,,,,,,,64.5413292817447,2,,3819,Durres (Adm2). 
196,2003-0391-DEU,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,Drought,,,,,,,°C,,,,,2003,8.0,,2003,8.0,,9355.0,,,,,,,10000.0,15909.0,1650000.0,2624945.0,62.8584595000413,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1). "
197,2003-0391-ESP,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,Andaloucia province,,Drought,,,,,,40.0,°C,,,,,2003,8.0,1.0,2003,8.0,11.0,15090.0,,,,,,,,,880000.0,1399971.0,62.8584595000413,1,2716,,Andalucía (Adm1). 
198,2003-0391-FRA,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,Drought,,,,,,43.0,°C,,,,,2003,8.0,1.0,2003,8.0,20.0,19490.0,,,,,,,,,4400000.0,6999853.0,62.8584595000413,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
200,2003-0250-IND,2003,250,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",,Drought,,,,,,49.0,°C,,,,,2003,5.0,14.0,2003,6.0,6.0,1210.0,,,,,,,,,400000.0,636350.0,62.8584595000413,1,1485;1498;1504;1506;1508;70073;70075;70078;70079;70081,,"Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Orissa, Rajasthan, Tamil Nadu, Uttar Pradesh (Adm1). "
201,2003-0391-ITA,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",,Drought,,,,,,,°C,,,,,2003,7.0,16.0,2003,8.0,15.0,20089.0,,,,,,,,,4400000.0,6999853.0,62.8584595000413,2,,18352;18363;18366;18378;18384;18400,"Firenze, Genova, Lecce, Milano, Torino, Varese (Adm2). "
256,2003-0391-GBR,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"England, Wales provinces",,,,,,,,,°C,,,,,2003,7.0,,2003,7.0,,301.0,,,,,,,,,,,62.8584595000413,1,3182;3186,,"England, Wales (Adm1). "
398,2004-0310-CHN,2004,310,,Natural,Meteorological,Extreme temperature ,Heat wave,,,China,CHN,Eastern Asia,Asia,"Guangzhou city (Guangzhou district, Guangdong Sheng province)",,,,,,,,39.0,°C,,,,,2004,7.0,2.0,2004,7.0,3.0,39.0,,,,,,,,,,,64.5413292817447,2,,13028,Guangzhou (Adm2). 
