Year,Seq,Max_temp,Days_over_30,Start Month,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Region_Eastern Europe,Region_Southern Europe,Region_Western Europe,Country_Belgium,Country_Bulgaria,Country_France,Country_Germany,Country_Italy,Country_Netherlands,Country_Portugal,Country_Romania,Country_Slovakia,Country_Spain,Total Deaths
1990,85,32.1,2.0,7.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,5.0
1995,157,40.3,20.0,7.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,30.0
1998,204,35.3,15.0,7.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,False,True,False,False,False,False,False,True,False,False,False,False,False,10.0
1996,362,36.4,11.0,7.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,16.0
1998,250,37.1,13.0,8.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,20.0
2000,382,31.8,4.0,6.0,32.2,8.6,48.0,21.7,6838937.0,7250.0,2.3,14.520750812589734,0.020025041903442013,True,False,False,False,True,False,False,False,False,False,False,False,False,7.0
2000,380,39.4,16.0,7.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,6.0
2003,391,34.2,7.0,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,1175.0
2003,391,33.9,7.0,8.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,False,False,True,False,False,False,True,False,False,False,False,False,False,9355.0
2003,391,39.5,22.0,8.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,15090.0
2003,391,37.9,11.0,8.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,19490.0
2003,391,34.6,25.0,7.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,False,True,False,False,False,False,False,True,False,False,False,False,False,20089.0
2004,361,38.4,23.0,7.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,26.0
2003,391,31.3,1.0,7.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,False,False,True,False,False,False,False,False,True,False,False,False,False,965.0
2003,391,37.1,2.0,7.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,12.798276900344879,0.011828584157599051,False,True,False,False,False,False,False,False,False,True,False,False,False,2696.0
2004,333,35.1,4.0,7.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,27.0
2006,383,29.1,0.0,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,940.0
2006,383,35.4,14.0,7.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,False,False,True,False,False,False,True,False,False,False,False,False,False,2.0
2006,383,38.4,28.0,7.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,21.0
2006,383,35.6,10.0,7.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,1388.0
2005,820,32.4,3.0,6.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,12.798276900344879,0.011828584157599051,False,True,False,False,False,False,False,False,False,True,False,False,False,462.0
2005,756,32.1,5.0,7.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,13.0
2006,383,33.1,2.0,7.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,False,False,True,False,False,False,False,False,True,False,False,False,False,1000.0
2006,383,35.8,7.0,7.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,12.798276900344879,0.011828584157599051,False,True,False,False,False,False,False,False,False,True,False,False,False,41.0
2006,348,32.3,5.0,6.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,26.0
2007,235,34.5,4.0,6.0,32.2,8.6,48.0,21.7,6838937.0,7250.0,2.3,14.520750812589734,0.020025041903442013,True,False,False,False,True,False,False,False,False,False,False,False,False,2.0
2007,235,39.1,11.0,6.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,True,False,False,False,False,False,False,False,False,False,True,False,False,30.0
2007,235,33.1,5.0,6.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,False,True,False,False,False,False,False,True,False,False,False,False,False,6.0
2007,235,36.9,11.0,7.0,16.5,3.2,48.6,17.4,5434712.0,16300.0,4.1,16.059655047038373,0.014979634615412924,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
2011,329,36.1,15.0,8.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,False,True,False,False,False,False,False,True,False,False,False,False,False,10.0
2015,410,30.9,1.0,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,410.0
2015,410,30.8,2.0,6.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,3275.0
2018,235,40.6,30.0,8.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,9.0
2019,296,32.2,3.0,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,128.0
2019,296,36.1,9.0,6.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,False,False,True,False,False,False,True,False,False,False,False,False,False,4.0
2019,296,40.6,12.0,6.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,2.0
2019,296,34.0,7.0,6.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,567.0
2019,296,35.7,14.0,6.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,False,True,False,False,False,False,False,True,False,False,False,False,False,3.0
2019,366,37.8,4.0,7.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,400.0
2019,650,31.7,2.0,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,188.0
2020,530,34.7,9.0,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,False,False,True,True,False,False,False,False,False,False,False,False,False,1687.0
2019,366,40.0,6.0,7.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,868.0
2019,366,35.3,3.0,7.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,False,False,True,False,False,False,False,False,True,False,False,False,False,400.0
2020,530,31.5,1.0,7.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,1924.0
2020,530,31.4,6.0,8.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,False,False,True,False,False,False,False,False,True,False,False,False,False,400.0
2022,465,28.8,0.0,5.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,False,False,True,False,False,False,True,False,False,False,False,False,False,8173.0
2022,465,35.4,7.0,5.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,False,True,False,False,False,False,False,False,False,False,False,False,True,11324.0
2022,465,28.2,0.0,5.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,False,False,True,False,False,True,False,False,False,False,False,False,False,4807.0
