,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp,month_length
1,2003-0391-BEL,2003,391,Belgium,BEL,Western Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",Drought,,2003,8.0,1.0,2003,8.0,15.0,1175.0,,,,,62.8584595000413,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2003-08-01,2003-08-15,14.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2003-08-01,2003-08-31,7.0,34.2,0.0
3,2003-0391-DEU,2003,391,Germany,DEU,Western Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",Drought,,2003,8.0,,2003,8.0,,9355.0,,,1650000.0,2624945.0,62.8584595000413,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1). ",,,,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2003-08-01,2003-08-31,7.0,33.9,0.0
4,2003-0391-ESP,2003,391,Spain,ESP,Southern Europe,Andaloucia province,Drought,40.0,2003,8.0,1.0,2003,8.0,11.0,15090.0,,,880000.0,1399971.0,62.8584595000413,1,2716,,Andalucía (Adm1). ,2003-08-01,2003-08-11,10.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2003-08-01,2003-08-31,22.0,39.5,0.0
5,2003-0391-FRA,2003,391,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",Drought,43.0,2003,8.0,1.0,2003,8.0,20.0,19490.0,,,4400000.0,6999853.0,62.8584595000413,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2003-08-01,2003-08-20,19.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2003-08-01,2003-08-31,11.0,37.9,0.0
6,2003-0391-ITA,2003,391,Italy,ITA,Southern Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",Drought,,2003,7.0,16.0,2003,8.0,15.0,20089.0,,,4400000.0,6999853.0,62.8584595000413,2,,18352;18363;18366;18378;18384;18400,"Firenze, Genova, Lecce, Milano, Torino, Varese (Adm2). ",2003-07-16,2003-08-15,30.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2003-07-01,2003-07-31,25.0,34.6,1.0
8,2004-0361-ESP,2004,361,Spain,ESP,Southern Europe,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia provinces",,,2004,7.0,26.0,2004,7.0,30.0,26.0,,,,,64.5413292817447,1,2716;2723;2726;2727;2729;2731,,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia (Adm1). ",2004-07-26,2004-07-30,4.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2004-07-01,2004-07-31,23.0,38.4,0.0
9,2003-0391-NLD,2003,391,Netherlands (the),NLD,Western Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,2003,7.0,31.0,2003,8.0,13.0,965.0,,,,,62.8584595000413,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2003-07-31,2003-08-13,13.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2003-07-01,2003-07-31,1.0,31.3,1.0
10,2003-0391-PRT,2003,391,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,2003,7.0,30.0,2003,8.0,15.0,2696.0,,,,,62.8584595000413,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",2003-07-30,2003-08-15,16.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2003-07-01,2003-07-31,2.0,37.1,1.0
11,2004-0333-ROU,2004,333,Romania,ROU,Eastern Europe,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Boj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces",,38.0,2004,7.0,1.0,2004,7.0,,27.0,,,,,64.5413292817447,1,2446;2447;2448;2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486,,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea (Adm1). ",2004-07-01,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2004-07-01,2004-07-31,4.0,35.1,0.0
12,2006-0383-BEL,2006,383,Belgium,BEL,Western Europe,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",,,2006,6.0,,2006,7.0,,940.0,,,,,68.8837587123464,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",,,,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2006-06-01,2006-06-30,0.0,29.1,1.0
