DATAFLOW,LAST UPDATE,freq,levels,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,AT,2014,7.3,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,BG,2014,6.3,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,CY,2014,6.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,CZ,2014,7.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,DE,2014,5.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,DK,2014,5.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,EE,2014,9.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,EL,2014,11.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,ES,2014,3.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,EU27_2020,2014,8.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,EU28,2014,7.7,e
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,FI,2014,7.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,FR,2014,13.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,HR,2014,6.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,HU,2014,6.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,IE,2014,8.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,IS,2014,10.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,IT,2014,6.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,LT,2014,7.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,LU,2014,4.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,LV,2014,8.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,MT,2014,4.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,NO,2014,9.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,PL,2014,10.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,PT,2014,10.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,RO,2014,7.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,SE,2014,11.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,SI,2014,7.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,SK,2014,10.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,TR,2014,8.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,HVY,TOTAL,T,TOTAL,PC,UK,2014,5.4,
