DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2011,38.34,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2012,38.54,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2013,36.12,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2014,38.55,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2015,41.73,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2016,39,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2017,36.62,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2018,35.17,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2019,29.84,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,AT,2020,31.26,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2011,15.76,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2012,16.57,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2013,15.33,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2014,14.4,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2015,13.74,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2016,12.9,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2017,13.39,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2018,12.98,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2019,12.39,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BE,2020,12.59,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2011,22.78,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2012,24.2,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2013,19.79,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2014,20.93,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2015,25.14,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2016,22.63,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2017,21.14,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2018,23.09,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2019,20.82,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,BG,2020,24.12,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2011,17.18,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2012,17.11,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2013,17.92,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2014,16,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2015,16.9,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2016,16.01,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2017,15.45,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2018,13.9,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2019,13.5,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CH,2020,11.6,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2011,73.54,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2012,70.75,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2013,69.7,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2014,72.36,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2015,65.48,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2016,53.3,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2017,58.01,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2018,55.25,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2019,56.06,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CY,2020,59.73,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2011,29.15,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2012,26.92,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2013,45.1,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2014,41.8,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2015,43.48,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2016,43.26,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2017,41.53,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2018,46.51,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2019,45.55,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,CZ,2020,52.29,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2011,29.41,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2012,29.36,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2013,28.88,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2014,26.32,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2015,27.67,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2016,25.49,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2017,26.98,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2018,26.43,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2019,24.9,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DE,2020,26.37,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2011,29.43,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2012,27.69,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2013,27.28,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2014,26.23,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2015,26.69,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2016,27.31,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2017,25.5,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2018,26.37,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2019,24.21,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,DK,2020,22.32,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2011,13.51,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2012,10.25,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2013,11.86,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2014,12,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2015,10.67,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2016,14.21,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2017,14.99,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2018,17.08,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2019,18,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EE,2020,24.3,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2011,10.24,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2012,10.07,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2013,11.97,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2014,13.86,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2015,14.64,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2016,14.18,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2017,16.68,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2018,17.29,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2019,18.32,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EL,2020,18.5,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2011,22.91,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2012,22.12,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2013,20.27,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2014,20.18,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2015,20.79,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2016,18.6,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2017,18.99,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2018,18.79,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2019,17.89,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,ES,2020,20.59,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2011,25.36,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2012,25.4,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2013,24.77,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2014,23.48,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2015,24.89,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2016,23.61,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2017,24.15,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2018,23.87,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2019,23.36,p
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,EU27_2020,2020,26.2,
ESTAT:TPS00137(1.0),12/06/23 11:00:00,A,RT,T,TOTAL,E10-E14,FI,2011,9.5,
