DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AD,2011,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AD,2012,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AD,2013,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AD,2019,13.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2011,11.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2012,11.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2013,11.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2014,12.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2015,12.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2016,12.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2017,13.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2018,13.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2019,14.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2020,14.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2021,15.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AL,2022,15.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2015,10.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2016,10.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2017,11.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2018,11.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2019,11.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2020,12.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AM,2021,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2011,17.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2012,17.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2013,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2014,18.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2015,18.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2016,18.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2017,18.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2018,18.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2019,18.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2020,19.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2021,19.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AT,2022,19.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2011,5.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2012,5.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2013,5.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2014,5.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2015,6.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2016,6.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2017,6.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2018,6.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2019,6.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2020,7.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2021,7.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,AZ,2022,7.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2011,17.1,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2012,17.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2013,17.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2014,17.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2015,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2016,18.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2017,18.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2018,18.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2019,18.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2020,19.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2021,19.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BE,2022,19.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2011,18.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2012,18.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2013,19.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2014,19.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2015,20.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2016,20.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2017,20.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2018,21.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2019,21.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2020,21.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2021,21.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BG,2022,21.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2011,13.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2012,13.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2013,13.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2014,13.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2015,14.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2016,14.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2017,14.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2018,15.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,BY,2019,15.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2011,16.9,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2012,17.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2013,17.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2014,17.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2015,17.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2016,18.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2017,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,CH,2018,18.3,
