DATAFLOW,LAST UPDATE,freq,unit,landcover,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,AT,2009,45.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,AT,2012,45.0,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,AT,2015,46.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,AT,2018,46.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BE,2009,21.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BE,2012,22.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BE,2015,23.1,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BE,2018,24.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BG,2012,42.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BG,2015,44.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,BG,2018,48.0,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CY,2012,33.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CY,2015,39.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CY,2018,43.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CZ,2009,37.0,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CZ,2012,37.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CZ,2015,37.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,CZ,2018,37.9,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DE,2009,30.9,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DE,2012,31.1,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DE,2015,32.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DE,2018,32.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DK,2009,13.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DK,2012,13.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DK,2015,15.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,DK,2018,16.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EE,2009,55.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EE,2012,57.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EE,2015,58.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EE,2018,58.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EL,2009,38.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EL,2012,40.4,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EL,2015,44.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EL,2018,47.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,ES,2009,33.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,ES,2012,36.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,ES,2015,39.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,ES,2018,41.2,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU27_2007,2012,40.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU27_2007,2015,41.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU27_2007,2018,42.0,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU27_2020,2015,42.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU27_2020,2018,43.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU28,2015,41.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU28,2018,42.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU_V,2009,39.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU_V,2012,40.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU_V,2015,41.9,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,EU_V,2018,42.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FI,2009,68.7,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FI,2012,70.5,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FI,2015,71.3,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FI,2018,69.9,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FR,2009,30.1,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FR,2012,30.6,
ESTAT:SDG_15_10(1.0),18/05/21 23:00:00,A,PC,LCC1_2,FR,2015,31.0,
