DATAFLOW,LAST UPDATE,freq,unit,quantile,age,sex,levels,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AL,2017,81.4,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AL,2018,81.8,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AL,2019,82.0,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AL,2020,82.8,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2005,71.0,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2006,71.9,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2007,72.4,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2008,70.1,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2009,70.1,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2010,69.5,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2011,68.8,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2012,70.0,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2013,68.7,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2014,69.6,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2015,69.9,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2016,70.3,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2017,70.4,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2018,71.7,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2019,71.3,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2020,74.0,
ESTAT:SDG_03_20(1.0),11/07/23 23:00:00,A,PC,TOTAL,Y_GE16,T,VG_G,AT,2021,72.3,
