DATAFLOW,LAST UPDATE,freq,deg_urb,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AL,2017,19.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AL,2018,22.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AL,2019,21.5,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AL,2020,20.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2013,37.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2014,37.5,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2015,37.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2016,38.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2017,40.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2018,38.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2019,39.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2020,35.4,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2021,35.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,AT,2022,38.2,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2013,27.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2014,26.2,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2015,23.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2016,24.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2017,24.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2018,24.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2019,26.2,b
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2020,24.7,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2021,25.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BE,2022,26.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2013,17.2,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2014,19.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2015,19.9,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2016,18.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2017,23.2,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2018,19.4,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2019,17.2,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2020,18.7,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2021,19.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,BG,2022,18.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2013,34.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2014,37.4,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2015,35.5,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2016,38.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2017,37.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2018,36.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2019,37.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2020,33.9,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CH,2021,36.7,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2013,33.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2014,34.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2015,33.6,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2016,34.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2017,35.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2018,38.0,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2019,37.8,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2020,39.3,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2021,38.7,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CY,2022,38.1,
ESTAT:HLTH_SILC_19(1.0),11/07/23 23:00:00,A,DEG1,Y_GE16,T,PC,CZ,2013,28.1,u
