DATAFLOW,LAST UPDATE,freq,age,incgrp,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AL,2017,22.4,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AL,2018,24.0,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AL,2019,21.0,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AL,2020,15.3,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2003,1.6,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2004,3.8,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2005,3.7,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2006,3.9,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2007,3.8,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2008,4.6,b
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2009,4.1,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2010,4.0,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2011,3.8,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2012,3.8,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2013,3.9,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2014,3.7,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2015,4.3,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2016,4.2,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2017,4.4,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2018,3.2,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2019,3.0,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,AT,2020,3.0,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2003,2.4,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2004,1.2,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2005,1.7,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2006,1.1,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2007,1.2,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2008,1.1,
ESTAT:SDG_11_11(1.0),09/09/22 11:00:00,A,TOTAL,TOTAL,T,PC,BE,2009,1.3,
