DATAFLOW,LAST UPDATE,freq,unit,quantile,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AL,2017,13.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AL,2018,14.8,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AL,2019,14.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AL,2020,10.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2008,0.7,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2009,0.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2010,0.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2011,0.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2012,0.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2013,0.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2014,0.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2015,0.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2016,0.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2017,0.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2018,0.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2019,0.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2020,0.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2021,0.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,AT,2022,0.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2008,0.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2009,0.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2010,0.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2011,1.5,b
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2012,1.7,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2013,1.9,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,BE,2014,2.5,
