DATAFLOW,LAST UPDATE,freq,unit,physact,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,AT,2014,43.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,BG,2014,3.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,CY,2014,17.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,CZ,2014,15.9,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,DE,2014,36.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,DK,2014,46.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,EE,2014,16.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,EL,2014,7.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,ES,2014,22.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,EU27_2020,2014,20.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,EU28,2014,20.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,FI,2014,46.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,FR,2014,15.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,HR,2014,11.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,HU,2014,17.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,IE,2014,16.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,IS,2014,51.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,IT,2014,8.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,LT,2014,8.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,LU,2014,33.8,u
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,LV,2014,15.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,MT,2014,23.7,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,NO,2014,42.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,PL,2014,9.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,PT,2014,10.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,RO,2014,2.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,SE,2014,42.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,SI,2014,27.9,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,SK,2014,16.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,TR,2014,2.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO,T,TOTAL,SM_SEV,UK,2014,24.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,AT,2014,20.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,BG,2014,1.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,CY,2014,2.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,CZ,2014,3.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,DE,2014,18.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,DK,2014,23.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,EE,2014,3.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,EL,2014,2.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,ES,2014,5.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,EU27_2020,2014,8.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,EU28,2014,8.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,FI,2014,22.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,FR,2014,4.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,HR,2014,1.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,HU,2014,5.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,IE,2014,7.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,IS,2014,34.9,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,IT,2014,3.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,LT,2014,2.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,LU,2014,14.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,LV,2014,5.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,MT,2014,2.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,NO,2014,13.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,PL,2014,1.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,PT,2014,3.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,RO,2014,0.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,SE,2014,22.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,SI,2014,14.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,SK,2014,4.9,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,TR,2014,0.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,SM_SEV,UK,2014,8.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,AT,2014,29.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,BG,2014,2.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,CY,2014,3.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,CZ,2014,8.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,DE,2014,28.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,DK,2014,33.6,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,EE,2014,7.4,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,EL,2014,4.7,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,ES,2014,7.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,EU27_2020,2014,13.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,EU28,2014,13.7,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,FI,2014,32.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,FR,2014,9.9,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,HR,2014,3.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,HU,2014,10.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,IE,2014,17.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,IS,2014,49.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,IT,2014,6.2,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,LT,2014,6.3,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,LU,2014,22.8,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,LV,2014,11.5,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,MT,2014,3.1,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,NO,2014,17.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,PL,2014,2.0,
ESTAT:HLTH_EHIS_PE9D(1.0),01/08/23 23:00:00,A,PC,MV_MSC,T,TOTAL,SM_SEV,PT,2014,5.8,
