DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AD,2013,76246,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AD,2019,76177,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2013,2897770,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2014,2892394,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2015,2885796,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2016,2875592,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2017,2876591,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2018,2870324,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2019,2862427,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2020,2845955,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2021,2829741,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AL,2022,2793592,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2015,3010598,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2016,2998577,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2017,2986151,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2018,2972732,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2019,2965269,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2020,2959694,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AM,2021,2963251,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2013,8451860,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2014,8507786,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2015,8584926,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2016,8700471,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2017,8772865,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2018,8822267,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2019,8858775,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2020,8901064,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2021,8932664,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2022,8978929,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2013,9356483,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2014,9477119,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2015,9593038,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2016,9705643,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2017,9809981,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2018,9898085,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2019,9981457,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2020,10067108,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2021,10119133,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AZ,2022,10156366,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2013,11137974,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2014,11180840,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2015,11237274,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2016,11311117,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2017,11351727,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2018,11398589,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2019,11455519,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2020,11522440,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2021,11554767,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BE,2022,11617623,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2013,7284552,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2014,7245677,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2015,7202198,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2016,7153784,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2017,7101859,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2018,7050034,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2019,7000039,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2020,6951482,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2021,6916548,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BG,2022,6838937,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2013,9463840,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2014,9468154,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2015,9480868,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2016,9498364,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2017,9504704,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2018,9491823,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,BY,2019,9475174,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2013,8039060,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2014,8139631,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2015,8237666,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2016,8327126,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2017,8419550,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2018,8484130,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2019,8544527,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2020,8606033,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2021,8670300,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CH,2022,8738791,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2013,865878,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2014,858000,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2015,847008,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2016,848319,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2017,854802,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2018,864236,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2019,875899,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2020,888005,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2021,896007,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CY,2022,904705,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2013,10516125,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2014,10512419,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2015,10538275,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2016,10553843,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2017,10578820,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2018,10610055,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2019,10649800,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2020,10693939,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2021,10494836,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,CZ,2022,10516707,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2013,80523746,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2014,80767463,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2015,81197537,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2016,82175684,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2017,82521653,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2018,82792351,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2019,83019213,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2020,83166711,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2021,83155031,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE,2022,83237124,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2013,80523746,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2014,80767463,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2015,81197537,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2016,82175684,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2017,82521653,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2018,82792351,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2019,83019213,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2020,83166711,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2021,83155031,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DE_TOT,2022,83237124,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2013,5602628,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2014,5627235,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2015,5659715,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2016,5707251,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2017,5748769,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2018,5781190,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2019,5806081,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2020,5822763,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2021,5840045,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,DK,2022,5873420,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2013,333073061,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2014,334820880,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2015,335640859,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2016,336899429,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2017,337693238,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2018,338444103,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2019,338729883,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2020,339615386,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2021,339765354,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2013,336044966,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2014,337764352,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2015,338562121,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2016,339787987,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2017,340541142,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2018,341253004,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2019,341524067,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2020,342409476,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2021,342634402,bp
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2022,342805884,bp
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA20,2022,346668189,bp
