DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AL,2017,58.5,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AL,2018,53.9,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AL,2019,50.7,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AL,2020,46.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2015,16.9,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2016,17.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2017,17.1,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2018,16.8,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2019,16.5,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2020,16.7,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2021,17.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,AT,2022,17.5,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2015,21.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2016,22.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2017,22.0,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2018,20.5,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2019,20.0,b
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2020,20.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2021,18.8,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BE,2022,18.7,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2015,43.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2016,41.0,b
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2017,38.0,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2018,33.0,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2019,33.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2020,33.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2021,31.7,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,BG,2022,32.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2014,16.8,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2015,18.2,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2016,17.9,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2017,18.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2018,17.8,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2019,19.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2020,18.5,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CH,2021,17.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2015,22.8,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2016,22.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2017,21.4,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2018,19.1,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2019,18.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2020,17.6,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2021,17.3,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CY,2022,16.7,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CZ,2015,13.0,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CZ,2016,12.4,
ESTAT:SDG_01_10(1.0),07/07/23 23:00:00,A,T,TOTAL,PC,CZ,2017,12.1,
