DATAFLOW,LAST UPDATE,freq,indic_em,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2009,1.4,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2010,1.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2011,1.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2012,1.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2013,1.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2014,1.9,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2015,2.0,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2016,2.4,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2017,2.3,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2018,1.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2019,1.4,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2020,1.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2021,2.0,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,AT,2022,1.2,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2009,3.2,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2010,3.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2011,3.1,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2012,3.1,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2013,3.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2014,3.9,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2015,4.0,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2016,3.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2017,3.1,b
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2018,2.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2019,2.1,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2020,2.1,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2021,2.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BE,2022,2.3,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2009,3.4,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2010,5.2,b
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2011,6.8,b
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2012,7.2,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2013,7.9,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2014,7.4,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2015,6.1,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2016,5.0,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2017,3.9,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2018,3.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2019,2.9,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2020,2.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2021,2.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,BG,2022,2.3,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2010,1.6,b
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2011,1.6,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2012,1.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2013,1.5,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2014,1.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2015,1.8,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2016,1.8,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2017,1.7,
ESTAT:SDG_08_40(1.0),20/06/23 23:00:00,A,LTU,Y15-74,PC_ACT,T,CH,2018,1.7,
