DATAFLOW,LAST UPDATE,freq,unit,tra_infr,weight,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2012,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2013,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2014,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2015,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2016,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2017,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2018,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2019,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2020,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,AT,2021,351,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2012,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2013,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2014,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2015,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2016,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2017,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2018,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2019,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2020,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,BG,2021,470,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,CZ,2012,676,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,CZ,2013,687,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,CZ,2014,687,
ESTAT:IWW_IF_INFRASTR(1.0),30/03/23 23:00:00,A,KM,TOTAL,TOTAL,CZ,2015,720,
